algorithms lumpy pindel delly svelter erds svelter_Deter
chrM 0.0752527778016 0.362455555532 0.0109999999735 0.00322499997086 0.000116666687859 0.00338333328565
chr1 2.04654166672 * 1.03109444446 6.98952777776 1.84016111109 7.30624444445
chr2 2.14208055549 12.5220305555 1.02610277779 7.29852222217 1.8855388889 7.20911666665
chr3 1.60764444444 6.18628333337 0.803377777735 5.09227222224 1.50291666667 6.60789722224
chr4 1.5874888889 8.83620555553 0.890805555516 4.96574166662 1.46243888895 5.01984722224
chr5 1.5011833334 5.45231111109 0.71008888887 4.82762500001 1.38175277776 5.16364444441
chr6 1.44463055558 6.35490833342 0.606766666638 4.78704722219 1.31270277778 4.98302222225
chr7 1.36257499999 6.4218861111 0.598547222217 3.68583055556 1.22533611106 4.27410277777
chr8 1.1549333334 4.55437222222 0.616305555569 4.13367500001 1.10984166669 4.07869722221
chr9 1.13998055551 6.41338888884 0.405280555553 2.34869166666 0.971127777762 3.33604999999
chr10 1.33327777776 * 0.947219444447 3.39009999997 1.08503888892 3.73491944446
chr11 1.11 6.53476666669 0.518977777759 3.71549722221 1.09348333332 3.83675555554
chr12 1.06191666669 4.51065277775 0.522836111122 3.69894722223 1.01035833332 3.95271666666
chr13 0.719441666736 2.93117222223 0.336566666696 2.29733888891 0.797597222262 3.1280277778
chr14 0.691847222249 4.56689166665 0.322900000016 2.49713055558 0.691941666669 2.65391666671
chr15 0.674166666733 2.54714722223 0.339438888894 2.03851666669 0.64133888887 2.2177527778
chr16 0.803102777799 6.80670277781 1.1966222222 2.63583055556 0.674983333349 2.79383055554
chr17 0.739599999984 4.95256388896 0.368366666701 2.80358888891 0.578455555571 2.82423055556
chr18 0.617819444405 4.89099444436 0.296288888852 7.80818888889 0.589555555582 2.03326388889
chr19 0.549872222212 5.47505000002 0.323583333294 2.37518888884 0.444644444386 2.37224722226
chr20 0.502077777783 2.63996111108 0.191838888923 1.97093055553 0.474836111135 2.09653333333
chr21 0.327083333333 1.93233888891 0.170661111143 0.831269444426 0.302902777791 0.962922222217
chr22 0.30450555563 1.40408055557 0.133033333355 1.1014694445 0.284677777754 1.36212499996
chrX 1.24750555555 5.09370277776 0.503274999989 2.62211944448 0.911836111148 3.07194444444
chrY 0.0692777778043 0.993325000008 0.100227777759 0.0419611110952 3.61111429003e-05 0.0185472222169
